Year,AIR,Candidate ID,Candidate,Written,PT,Final,Optional,Attempts,Education,Institution,Employment,Geography,Marks Evidence,Optional Evidence,Attempts Evidence,Education Evidence,Institution Evidence,Geography Evidence,Employment Evidence,Preparation Evidence,Candidate Evidence
2019,1,CSE2019_AIR1,Pradeep Singh,914,158,1072,Public Administration,4th,"B.E. Computer Science, DCRUST Murthal",DCRUST Murthal,UNKNOWN,Haryana,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2019,2,CSE2019_AIR2,Jatin Kishore,878,185,1063,Economics,2nd,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2019,3,CSE2019_AIR3,Pratibha Verma,869,193,1062,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2019,4,CSE2019_AIR4,Himanshu Jain,851,200,1051,Anthropology,2nd,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2019,5,CSE2019_AIR5,Jeydev C S,844,206,1050,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2020,1,CSE2020_AIR1,Shubham Kumar,878,176,1054,Anthropology,3rd,"B.Tech Civil Engineering, IIT Bombay",IIT Bombay,UNKNOWN,Bihar,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2020,2,CSE2020_AIR2,Jagrati Awasthi,859,193,1052,Sociology,2nd,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2020,3,CSE2020_AIR3,Ankita Jain,839,212,1051,Philosophy,4th,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2020,4,CSE2020_AIR4,Yash Jaluka,851,195,1046,Economics,1st,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2020,5,CSE2020_AIR5,Mamta Yadav,855,187,1042,Physics,2nd,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2021,1,CSE2021_AIR1,Shruti Sharma,932,173,1105,History,2nd,"B.A. History (Hons.), St. Stephen's College; postgraduate study at JNU",St. Stephen's College,UNKNOWN,Uttar Pradesh,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2021,2,CSE2021_AIR2,Ankita Agarwal,871,179,1050,PSIR,3rd,"Economics (Hons.), University of Delhi",University of Delhi,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2021,3,CSE2021_AIR3,Gamini Singla,858,187,1045,Sociology,2nd,B.Tech Computer Science,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2021,4,CSE2021_AIR4,Aishwarya Verma,860,179,1039,Geography,4th,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2021,5,CSE2021_AIR5,Utkarsh Dwivedi,871,165,1036,PSIR,3rd,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
2022,1,CSE2022_AIR1,Ishita Kishore,901,193,1094,PSIR,3rd,"B.A. Economics, SRCC, DU","Shri Ram College of Commerce, University of Delhi",UNKNOWN,Delhi,VERIFIED_PRIMARY,VERIFIED_SECONDARY,VERIFIED_SECONDARY,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,REPORTED_UNVERIFIED,UNKNOWN,UNKNOWN,VERIFIED_PRIMARY
